topic,v_lat,v_lon,Country
Business,46.948257,7.442258,ch
Business,46.948257,7.442258,ch
Business,46.927868,7.445703,ch
Business,46.948154,7.437449000000001,ch
Business,46.95,7.44,ch
Business,46.948891,7.474099000000002,ch
Business,46.948891,7.474099000000002,ch
Business,46.797436,7.147921000000001,ch
Business,46.927868,7.445703,ch
Business,46.94038,7.432815,ch
Business,46.94038,7.432815,ch
Business,46.927868,7.445703,ch
Business,46.927868,7.445703,ch
Business,46.95,7.44,ch
Business,46.95,7.44,ch
Business,46.957016,7.467946,ch
Business,46.940376,7.432815,ch
Business,46.946041,7.435821000000002,ch
Business,46.948257,7.442258,ch
Business,46.948257,7.442258,ch
Business,46.947975,7.447447,ch
Business,46.948322,7.442253,ch
Business,46.945713,7.433917,ch
Business,46.946041,7.435821000000002,ch
Business,46.933414,7.419281,ch
Business,46.946041,7.435821000000002,ch
Business,46.957016,7.467946,ch
Business,46.957016,7.467946,ch
Business,46.957016,7.467946,ch
Business,46.957016,7.467946,ch
Business,46.948322,7.442253,ch
Business,46.948322,7.442253,ch
Business,46.94038,7.432810000000001,ch
Business,46.955887,7.436661999999999,ch
Business,46.955887,7.436661999999999,ch
Business,46.955887,7.436661999999999,ch
Business,46.94038,7.432810000000001,ch
Business,46.955887,7.436661999999999,ch
Business,50.08,14.43,cz
Business,50.10342,14.45048,cz
Business,50.0527,14.439302,cz
Business,50.093624,14.456741,cz
Business,50.093624,14.456741,cz
Business,50.0882,14.43124,cz
Business,50.0882,14.43124,cz
Business,50.0882,14.43124,cz
Business,50.0882,14.43124,cz
Business,50.0882,14.43124,cz
Business,50.092365,14.448724,cz
Business,52.52,13.38,de
Business,52.52,13.38,de
Business,52.52,13.38,de
Business,52.52,13.38,de
Business,52.52,13.38,de
Business,52.522186,13.409331,de
Business,52.522186,13.409331,de
Business,52.504627,13.333638,de
Business,52.504627,13.333638,de
Business,52.52,13.38,de
Business,52.51259200000001,13.431107999999998,de
Business,39.954903,-75.15998,de
Business,48.13162,11.529746,de
Business,52.52,13.38,de
Business,52.515961,13.39115,de
Business,52.52,13.38,de
Business,48.135124,11.581981,de
Business,50.11507,8.67764,de
Business,52.52,13.38,de
Business,52.52,13.38,de
Business,52.515163,13.410243,de
Business,52.49310300000001,13.385318,de
Business,52.483139,13.441771,de
Business,52.497524,13.346839,de
Business,52.503872,13.420226,de
Business,52.503872,13.420226,de
Business,37.387474,-122.05754,de
Business,52.49560500000001,13.436407999999998,de
Business,52.526211,13.393735,de
Business,52.517803,13.41171,de
Business,52.52988000000001,13.424535,de
Business,52.52935400000001,13.370987,de
Business,52.52376999999999,13.414647,de
Business,52.54071800000001,13.394703,de
Business,52.51529300000001,13.408923,de
Business,52.504627,13.333638,de
Business,52.51529300000001,13.408923,de
Business,52.504696,13.333673999999998,de
Business,55.68,12.57,dk
Business,55.675358,12.565706,dk
Business,55.675392,12.586777,dk
Business,55.675392,12.586777,dk
Business,55.682335,12.577333,dk
Business,55.69919599999999,12.594842,dk
Business,55.676098,12.568337,dk
Business,55.68808000000001,12.597672,dk
Business,55.659634,12.590958,dk
Business,56.158627,10.215723,dk
Business,55.678964,12.570539,dk
Business,55.66664,12.559602,dk
Business,55.742493,12.492306,dk
Business,55.676098,12.568337,dk
Business,55.67078000000001,12.561062,dk
Business,55.68478399999999,12.586244,dk
Business,55.671562,12.583303,dk
Business,40.412415,-3.718261,es
Business,40.473,-3.68627,es
Business,40.412426,-3.718222,es
Business,40.42,-3.71,es
Business,40.432388,-3.684626,es
Business,40.432388,-3.684626,es
Business,40.432388,-3.684626,es
Business,40.445217,-3.462103,es
Business,40.43813,-3.689649,es
Business,40.428162,-3.704214,es
Business,40.4201,-3.705322,es
Business,40.42,-3.71,es
Business,40.415462,-3.724232,es
Business,40.448303,-3.692637,es
