,topic,v_lat,v_lon,Country,event_url,event_name,maxdist,mediandist,ID_event,date,venue_name,count_part
36,Tech,48.199524,16.345798000000002,at,https://www.meetup.com/WomenAndCode/events/259089364/,Women && Code: Intro to JavaScript 16.4.,7.0,7.0,259089364,Tue Apr 16 18:30:00 2019,ImpactHub Vienna,2
37,"Fitness,Sports,Outdoors,Music,Games,Social,Food&Drink",48.30126,16.422771,at,https://www.meetup.com/Wien-Singles-ab40-Fun-Kennenlernen/events/259124106/,Stammersdorfer Mail\u00fcfterl - Musik und Kulinarik ,7.0,7.0,259124106,Sat May  4 13:30:00 2019,Stammersdorfer Weintage - Stra\u00dfenbahnhaltestelle ,2
38,"Well-being,Spirituality,Business",48.19324500000001,16.408909,at,https://www.meetup.com/The-Holding-Space/events/259124307/,Holding Space for Self-Organising Teams,117.59244382839664,80.72829588559776,259124307,Sat Apr  6 13:00:00 2019,Markhof,2
39,Tech,48.214912,16.370539,at,https://www.meetup.com/TUGA-TYPO3-User-Group-Austria/events/259151207/,TUGA 75 - Getdesigned edition,7.0,7.0,259151207,Tue Apr  9 18:00:00 2019,Getdesigned,16
40,"Well-being,Social,Dancing,Singles,Spirituality,Fitness,Arts",50.837612,4.364199,be,https://www.meetup.com/EveryoneCanDance/events/257055152/,Its the 90s Everyone...Lets Dance,7.0,7.0,257055152,Thu Apr  4 19:00:00 2019,Jogo Vivo Health Club,3
41,"Well-being,Social,Dancing,Singles,Spirituality,Fitness,Arts",50.851021,4.366807,be,https://www.meetup.com/EveryoneCanDance/events/257055155/,Its the 80s Everyone....Lets Dance!,7.0,7.0,257055155,Sun Apr  7 11:30:00 2019,Fred Academy,9
42,"Well-being,Social,Dancing,Singles,Spirituality,Fitness,Arts",50.851021,4.366807,be,https://www.meetup.com/EveryoneCanDance/events/257055222/,Everyone Can Dance Like Gwen Stefani,21.69291252474784,7.0,257055222,Sun Apr 28 11:30:00 2019,Fred Academy,6
43,"Well-being,Social,Dancing,Singles,Spirituality,Fitness,Arts",50.851021,4.366807,be,https://www.meetup.com/EveryoneCanDance/events/257055240/,Everyone Can Dance Like Michael Jackson Workshop,486.464466629477,318.09825950957764,257055240,Sat Apr 27 14:00:00 2019,Fred Academy,3
44,Tech,50.85054,4.356402,be,https://www.meetup.com/Agile-Belgium/events/257340322/,Three little pigs. Blending Design Thinking with Agile for human-centred change.,49.30179212808986,38.035288789603264,257340322,Thu Apr  4 18:30:00 2019,SThree Brussels,11
45,"Social,Languages,Food&Drink",50.83,4.33,be,https://www.meetup.com/American-Club-of-Brussels/events/257866927/,GAME NIGHT!,5000.0,5673.190042823676,257866927,Tue Apr 30 19:00:00 2019,,5
46,"Social,Music,BookClubs,Languages,Arts",50.643517,5.570779,be,https://www.meetup.com/meetup-group-HPWweSoP/events/257934396/,Anna Bolena,7.0,7.0,257934396,Sun Apr 14 14:30:00 2019,Opera de Wallonie,2
47,"Tech,Business",50.845356,4.357286,be,https://www.meetup.com/Le-Wagon-Brussels-Coding-Bootcamp/events/257994056/,Free Le Wagon Workshop - UI Design crash course,21.69291252474784,16.79527501649856,257994056,Tue Apr  2 18:30:00 2019,Be Central,2
48,"Tech,Business",50.845356,4.357286,be,https://www.meetup.com/Le-Wagon-Brussels-Coding-Bootcamp/events/257994104/,Womens coding night #3 at Le Wagon - APIs for beginners,21.69291252474784,16.79527501649856,257994104,Wed Apr  3 18:30:00 2019,Be Central,2
49,Tech,50.83,4.33,be,https://www.meetup.com/Scrum-Masters-Agile-Coaches-clinic/events/258106952/,Scrum Masters / Agile Coaches clinic,30.910304059948203,16.79527501649856,258106952,Thu Apr 25 14:00:00 2019,,4
50,Tech,50.83,4.33,be,https://www.meetup.com/Scrum-Masters-Agile-Coaches-clinic/events/258106991/,Scrum Masters / Agile Coaches clinic,7.0,7.0,258106991,Thu May 30 14:00:00 2019,,2
51,"Tech,Business",50.88789000000001,4.4502120000000005,be,https://www.meetup.com/Ariad-Talks/events/258354032/,PM Community Evening,43.86956614080142,25.43478307040071,258354032,Tue Apr 23 18:00:00 2019,De Kleetlaan 4,10
52,"Social,Fitness,Outdoors",50.82701,4.372564,be,https://www.meetup.com/Brussels-Runners/events/258400165/,Easy Run (BrunX) :p,7.0,7.0,258400165,Sun Apr  7 10:30:00 2019,Caf\u00e9 Belga,13
53,"Social,Fitness,Outdoors",50.82701,4.372564,be,https://www.meetup.com/Brussels-Runners/events/258400179/,Easy Run (BrunX) :p,7.0,7.0,258400179,Sun Apr 14 10:30:00 2019,Caf\u00e9 Belga,10
54,"Social,Fitness,Outdoors",50.82701,4.372564,be,https://www.meetup.com/Brussels-Runners/events/258400190/,Easy Run (BrunX) :p,7.0,7.0,258400190,Sun Apr 21 10:30:00 2019,Caf\u00e9 Belga,4
55,"Tech,Business",50.85735,4.350038,be,https://www.meetup.com/effective-facilitation/events/258412039/,Scaled Agile Frameworks...,30.470621236321115,7.0,258412039,Thu Apr 25 17:30:00 2019,DigitYser,5
56,"Social,Languages,Food&Drink",50.83,4.33,be,https://www.meetup.com/American-Club-of-Brussels/events/258586259/,American Expats Financial Forum,5000.0,5673.190042823676,258586259,Wed Sep 25 18:00:00 2019,,5
57,Tech,50.849594,4.364084,be,https://www.meetup.com/BruJUG/events/258652869/,First Time Speakers session,7.0,7.0,258652869,Wed Apr 24 19:00:00 2019,ESI,8
58,"Social,BookClubs,Languages,Business,Arts",50.83,4.33,be,https://www.meetup.com/The-Brussels-Writing-Meetup/events/258740213/,Writing Retreat 2019,7.0,7.0,258740213,Fri Jun  7 17:00:00 2019,,13
59,"Tech,Business,Scifi",50.83,4.33,be,https://www.meetup.com/Microsoft-Innovation-Center-Brussels-Meetup/events/258761075/,Hellolo World. \u2013 Develop a serious game for the Hololens using Unity,16.217391535200356,7.0,258761075,Mon Apr  8 09:00:00 2019,,4
60,"Social,Languages",50.853161,4.34667,be,https://www.meetup.com/SPEAK-Brussels-Language-and-Culture-Exchange/events/258881212/,Language & Culture Exchange - Caf\u00e9,7.0,7.0,258881212,Thu Apr 25 19:00:00 2019,Caf\u00e9 Merlo,26
61,"Tech,Business",51.05444,3.717330000000001,be,https://www.meetup.com/effective-facilitation/events/258934049/,practicing visibility - agile coaching in a non agile organisation/culture,49.30179212808986,28.15089606404493,258934049,Tue Apr 30 18:30:00 2019,Gent,4
62,"Tech,Business",51.0518,4.454145,be,https://www.meetup.com/Belgian-Dataviz-Meetup/events/258957946/,"Dataviz Belgium, Spring Meetup",20.00081769326291,7.0,258957946,Wed Apr 24 19:00:00 2019,Ordina Belgium,6
63,"Well-being,Social,Spirituality,Music,Languages,Arts",50.847324,4.352685,be,https://www.meetup.com/PANArt-Hang-Handpans-Sound-Sculptures/events/259045416/,Brussels Handpan Gathering n\u00b019: Jeremy Nattagh,11.627932238950471,10.085288159300314,259045416,Thu May  9 19:30:00 2019,The Sister Brussels Caf\u00e9,2
64,Tech,50.630356,5.5747,be,https://www.meetup.com/Agile-Belgium/events/259045419/,Journ\u00e9e Agile 2019,5000.0,5673.190042823676,259045419,Fri Jun 14 08:00:00 2019,Palais des Congr\u00e8s de Li\u00e8ge,5
65,"Well-being,Social,Spirituality,Music,Languages,Arts",50.847324,4.352685,be,https://www.meetup.com/PANArt-Hang-Handpans-Sound-Sculptures/events/259048431/,Brussels Handpan Gathering n\u00b018: Sensosteel,2950.032253960243,13.170576318600625,259048431,Wed Apr 17 19:30:00 2019,The Sister Brussels Caf\u00e9,3
